
#,Category,Article Title (German),Article Title (English),Primary Keyword,Search Intent,Target Audience,Priority
1,Digital Investigations,Digitale Spur 1: Moderne Ermittlungstechniken im Netz,Digital Trail 1: Modern Investigative Techniques Online,digitale spur 1,Informational,B2C/B2B,Priority 1
2,Digital Investigations,Digitale Spur 2: Moderne Ermittlungstechniken im Netz,Digital Trail 2: Modern Investigative Techniques Online,digitale spur 2,Informational,B2C/B2B,Priority 1
3,Digital Investigations,Digitale Spur 3: Moderne Ermittlungstechniken im Netz,Digital Trail 3: Modern Investigative Techniques Online,digitale spur 3,Informational,B2C/B2B,Priority 1
4,Digital Investigations,Digitale Spur 4: Moderne Ermittlungstechniken im Netz,Digital Trail 4: Modern Investigative Techniques Online,digitale spur 4,Informational,B2C/B2B,Priority 1
5,Digital Investigations,Digitale Spur 5: Moderne Ermittlungstechniken im Netz,Digital Trail 5: Modern Investigative Techniques Online,digitale spur 5,Informational,B2C/B2B,Priority 1
6,Digital Investigations,Digitale Spur 6: Moderne Ermittlungstechniken im Netz,Digital Trail 6: Modern Investigative Techniques Online,digitale spur 6,Informational,B2C/B2B,Priority 2
7,Digital Investigations,Digitale Spur 7: Moderne Ermittlungstechniken im Netz,Digital Trail 7: Modern Investigative Techniques Online,digitale spur 7,Informational,B2C/B2B,Priority 2
8,Digital Investigations,Digitale Spur 8: Moderne Ermittlungstechniken im Netz,Digital Trail 8: Modern Investigative Techniques Online,digitale spur 8,Informational,B2C/B2B,Priority 2
9,Digital Investigations,Digitale Spur 9: Moderne Ermittlungstechniken im Netz,Digital Trail 9: Modern Investigative Techniques Online,digitale spur 9,Informational,B2C/B2B,Priority 2
10,Digital Investigations,Digitale Spur 10: Moderne Ermittlungstechniken im Netz,Digital Trail 10: Modern Investigative Techniques Online,digitale spur 10,Informational,B2C/B2B,Priority 2
11,Digital Investigations,Digitale Spur 11: Moderne Ermittlungstechniken im Netz,Digital Trail 11: Modern Investigative Techniques Online,digitale spur 11,Informational,B2C/B2B,Priority 2
12,Digital Investigations,Digitale Spur 12: Moderne Ermittlungstechniken im Netz,Digital Trail 12: Modern Investigative Techniques Online,digitale spur 12,Informational,B2C/B2B,Priority 2
13,Digital Investigations,Digitale Spur 13: Moderne Ermittlungstechniken im Netz,Digital Trail 13: Modern Investigative Techniques Online,digitale spur 13,Informational,B2C/B2B,Priority 2
14,Digital Investigations,Digitale Spur 14: Moderne Ermittlungstechniken im Netz,Digital Trail 14: Modern Investigative Techniques Online,digitale spur 14,Informational,B2C/B2B,Priority 2
15,Digital Investigations,Digitale Spur 15: Moderne Ermittlungstechniken im Netz,Digital Trail 15: Modern Investigative Techniques Online,digitale spur 15,Informational,B2C/B2B,Priority 2
16,Digital Investigations,Digitale Spur 16: Moderne Ermittlungstechniken im Netz,Digital Trail 16: Modern Investigative Techniques Online,digitale spur 16,Informational,B2C/B2B,Priority 2
